symbol,policy,allow_open,allow_reopen,allow_double_down,allow_sell,reason,evidence_source,review_after,updated_at
EFR,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.7183 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EFT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.2741 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EGHA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.8526 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EGP,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.0019 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EIC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.8036 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ELS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.4031 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EMA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.1437 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EMD,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.1220 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EMIS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7158 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EMO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.0652 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ENB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.2800 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
